,concept,Laplace
101,米饭,1.0
73,鸡肉,0.9290748369579486
158,香肠,0.45754948699568876
59,红酒,0.42074248895960653
53,果酱,0.3934499196593929
22,草莓酱,0.38020437854751354
60,红烧肉,0.3675557626471954
80,饺子,0.3563876044364399
72,鸡蛋,0.34313467799262737
148,甜点,0.3413361759522344
61,红糖,0.33847613868321874
178,猪肉,0.3362273687602437
18,饼干,0.33359673918828275
120,披萨,0.3235840771274336
38,豆浆,0.30920222256689417
94,辣椒酱,0.3044914601154397
164,鸭肉,0.2922828631118093
150,调料,0.28376688082231805
51,罐头,0.2836221434330795
76,煎饼,0.27754797794017005
68,馄饨,0.2743568970978094
155,稀饭,0.26861708400126105
99,馒头,0.2681594820702038
71,火腿肠,0.26639676153034286
140,烧烤,0.26448557991142607
69,火锅,0.25918621375159
170,油条,0.2461980337599921
42,番茄酱,0.2426379570627601
131,清汤,0.24058154070060034
64,花生酱,0.22561466705295374
132,热狗,0.2191235850670507
46,糕点,0.2178310078720197
139,沙拉酱,0.21332856620353735
145,酸奶,0.21069908441786336
91,腊肠,0.20559370824978698
37,豆腐脑,0.20159859561127622
123,葡萄干,0.19818608396999732
0,八宝粥,0.19795447489162607
15,冰淇淋,0.18932321268479707
13,冰红茶,0.18558154494687915
19,菠萝汁,0.18269881313714437
81,卷饼,0.18106439679602188
112,牛奶,0.1752565469172953
54,果汁,0.17451078766891864
96,凉皮,0.17013818854624044
58,红茶,0.16886164527844344
152,土豆泥,0.16615617691958554
43,方便面,0.1618489097512321
121,苹果汁,0.15958109015981553
173,炸酱面,0.15712525085809315
67,黄油,0.15592930279743977
174,炸薯条,0.15414473437424678
171,鱼丸,0.15345468785337701
114,牛肉,0.1498992193348053
116,牛肉面,0.1475238118199221
25,炒面,0.14478952972114129
142,寿司,0.13957934370294744
166,羊肉,0.13820107235837198
163,鸭脖,0.13549951859019044
52,果冻,0.13344011997548264
102,米线,0.13204261219997931
40,炖肉,0.13133994013219233
44,蜂蜜,0.12799753606522957
147,糖浆,0.12307738330768091
98,绿豆汤,0.12304019241416536
45,干果,0.11922370193238152
129,巧克力,0.11892683196272984
78,酱油,0.11850528419631456
135,肉汤,0.11420225182068137
144,苏打水,0.10874600640798308
28,纯净水,0.10799966028268128
75,坚果,0.1059228874842571
31,大米,0.1039750896163008
33,蛋黄,0.10144523038483558
160,小麦,0.1011606702831511
32,蛋糕,0.09796673273085259
110,奶油,0.09359820704358786
79,椒盐,0.09143999482644884
141,生鱼片,0.09035700355264532
115,牛肉干,0.0891247195102519
74,鸡尾酒,0.08716780627504432
1,白饭,0.0869598804060993
17,冰糖葫芦,0.08677130569694515
95,凉粉,0.08631166565991917
20,布丁,0.08457301931451028
169,油饼,0.083002246615973
111,柠檬水,0.08216203125393795
149,甜甜圈,0.08060247705909852
107,奶茶,0.08025917488850691
97,驴肉,0.07939795084141243
82,咖啡,0.07866270644753791
133,热水,0.07653020603392548
105,面粉,0.07407151402547942
14,冰咖啡,0.07129840037762454
146,糖果,0.06914096111458203
39,豆奶,0.06827655201402245
27,臭豆腐,0.06590487447628642
137,三明治,0.06510352898738019
85,烤面包,0.06459646057571601
55,汉堡,0.06433993768897844
128,荞麦,0.06405007163820421
124,葡萄酒,0.06374109561095104
100,牦牛奶,0.06303817089276222
103,蜜饯,0.06104809188512709
5,白粥,0.060232174998894765
63,花生,0.059015637452881464
109,奶酪,0.05717443144059563
8,包子,0.056842319431252696
172,玉米面,0.056485171986110305
2,白酒,0.056244272748866744
92,腊肉,0.05605024824502105
30,大饼,0.053723489457650875
104,棉花糖,0.05099356370027167
35,豆腐,0.0500956059248728
134,肉末,0.04780948555317017
165,燕麦片,0.04746573516607731
26,橙汁,0.04678034507998917
77,煎蛋卷,0.04664317969608847
90,葵花籽,0.04631428820307175
177,粥,0.0459473185230528
154,乌龙茶,0.04554276855667996
127,汽水,0.04373729065471376
23,茶,0.04284438824453245
4,白糖,0.04203411189913426
7,棒棒糖,0.040641308130364075
138,沙拉,0.039276742923325
106,面筋,0.0373040070444859
108,奶粉,0.036880876582443156
86,烤肉,0.03473288825128387
16,冰糖,0.033961739557649695
159,香烟,0.03286360086862997
29,醋,0.03285490933104479
87,烤肉串,0.03264486663069176
113,牛排,0.03227788136437654
10,比萨,0.03174212704291309
136,肉丸,0.030762116139789956
36,豆腐干,0.030628189825442367
88,烤羊肉,0.03040072581925132
93,辣椒粉,0.030234564658629264
65,花生米,0.030043053579779964
66,花生油,0.02961600554422654
47,羹汤,0.028690534161515832
157,香槟,0.028309158512677828
9,爆米花,0.027662529401953653
21,菜籽油,0.026228991454801245
49,狗肉,0.02432860061013054
50,谷物,0.02423945153299734
3,白砂糖,0.024171235596551703
156,馅饼,0.022536491812307567
56,荷包蛋,0.021536842823402125
125,葡萄汁,0.021423665005835913
143,涮羊肉,0.021266206305034684
167,意大利面,0.020637776345916757
126,普洱茶,0.020620972731719547
57,黑胡椒,0.01942752953423918
41,二锅头,0.018428637903312912
24,茶包,0.01712531419244295
70,火腿,0.017074960338346934
84,烤翅,0.016904106513040366
117,牛轧糖,0.016665864136614493
130,清酒,0.016360936538936506
89,可口可乐,0.016250236617673143
12,冰棍,0.015835947468640765
62,胡椒,0.014543949560260302
122,瓶装水,0.014073466905513109
153,味精,0.013702034878041195
34,豆豉,0.012579100148869886
176,芝麻,0.011600827661628153
83,咖啡豆,0.011566791551986599
11,碧螺春,0.011232727796112962
6,百事可乐,0.010942090290601477
119,培根,0.00882160262642313
161,小米,0.008192511946052316
175,蔗糖,0.006190623701832149
151,通心粉,0.005247645419814751
168,油,0.005050247915110576
162,雪茄,0.004421883408058793
48,狗粮,0.0037654512886725203
118,泡泡糖,0.0017362572598892873
